   ,YEAR_MONTH,CUSTOMER_CODE,SUM(A.SALES_QTY_TOT),SUM(SALES_VALUE_TOT)
246,2019-11,000000009002194,14.91,544413
247,2019-11,000000009005269,238.78,8725942.9
248,2019-11,000000009010335,1135.94,40442193.3
249,2019-05,000000009007104,57.64,2286474
250,2019-05,000000009018603,59.98,2551549.2
251,2019-06,000000009001706,3475.56,141823422.8
252,2019-11,000000009018936,75.61,2454790.5
253,2019-11,000000009005177,1491.5,52382970
254,2019-11,000000009001602,94.74,1667424
255,2019-11,000000009015714,992.4,40899460
256,2019-06,000000009013325,384.09,16116846.6
257,2019-06,000000009013327,1172.75,49064485.2
258,2019-06,000000009004775,47.9,392780
259,2019-06,000000009005215,6386.62,213782714.6
260,2019-11,000000009002443,327.38,11009448
261,2019-11,000000009011393,1703.85,59386028
262,2019-05,000000009000942,8.94,403492
263,2019-11,000000009001338,645.07,23515296
264,2019-06,000000009011815,75.5,3129083.2
265,2019-05,000000009002412,99.73,4363412.7
266,2019-06,000000009002355,49.3,2047403
267,2019-11,000000009001088,161.54,5595003.2
268,2019-06,000000009001018,44.04,1938078.6
269,2019-06,000000009000931,83.69,3560870.7
270,2019-06,000000009010335,1118.31,46633286.3
271,2019-06,000000009011694,526.9,21527821.6
272,2019-06,000000009001707,296.65,12591384.6
273,2019-06,000000009015316,24917.4,16945345
274,2019-06,000000009015337,254.48,319612
275,2019-06,000000009000353,108.98,4381446.8
276,2019-06,000000009001878,483.3,21407655.5
277,2019-06,000000009002830,152.67,5719256.2
278,2019-06,000000009016286,17.81,737394.8
279,2019-05,000000009003565,20.93,938158.35
280,2019-06,000000009004677,163.62,6642813
281,2019-06,000000009017386,304.68,360953
282,2019-06,000000009015971,224.19,9332248.1
283,2019-06,000000009000056,125.74,5501296.9
284,2019-06,000000009004564,99.04,3999585.6
285,2019-06,000000009004438,1919.83,77836535
286,2019-06,000000009005381,980.27,38708947.2
287,2019-06,000000009008370,49.39,2112177.79
288,2019-06,000000009000300,41.94,1773403.7
289,2019-06,000000009002982,153.88,336075
290,2019-06,000000009005164,280,1568600
291,2019-06,000000009000147,371.88,15475889.2
292,2019-06,000000009007806,1231.96,41391839.4
293,2019-05,000000009014194,15.76,628981.6
294,2019-06,000000009006048,35.45,1553680
295,2019-06,000000009018630,13.72,565991.7
296,2019-06,000000009007395,50.71,2301017.9
297,2019-06,000000009001355,460.83,18514962.4
298,2019-06,000000009000108,303.8,12696137
299,2019-05,000000009004525,29.61,1228815
300,2019-05,000000009016792,9.87,417480
301,2019-06,000000009000768,1421.4,60164652.2
302,2019-06,000000009001648,37.46,1593414.6
303,2019-10,000000009002307,138.9,4825947.8
304,2019-10,000000009001689,293.79,10688186.8
305,2019-06,000000009004552,476.45,19277134.7
306,2019-06,000000009004740,242.79,9777046.6
307,2019-06,000000009013324,678.21,28135822.3
308,2019-06,000000009011464,416.69,16711572.2
309,2019-06,000000009002494,132.3,5433528.3
310,2019-11,000000009004636,365.51,12227790.73
311,2019-06,000000009013792,8.3,349242.1
312,2019-06,000000009009890,79.47,3685816.3
313,2019-06,000000009014846,115.51,5046652.6
314,2019-06,000000009018755,6.9,287145.1
315,2019-06,000000009007836,110.9,4725425.6
316,2019-06,000000009000833,89.41,3791590.7
317,2019-06,000000009007043,411.45,18696068.75
318,2019-06,000000009006809,799.1,16381550
319,2019-06,000000009018151,8.8,365840
320,2019-11,000000009016286,89.82,3128441
321,2019-06,000000009016251,59.2,2350341.8
322,2019-11,000000009001648,53.89,1897661
323,2019-06,000000009001338,630.06,28141591.6
324,2019-06,000000009001687,651.06,29217099
325,2019-06,000000009016299,193.18,8044481.28
326,2019-06,000000009008483,272.73,11029131.4
327,2019-06,000000009015994,254.23,10815117.35
328,2019-06,000000009018562,106.94,4350177
329,2019-06,000000009001903,77.48,3380639.3
330,2019-06,000000009018273,143.48,5654546.8
331,2019-06,000000009004409,71.09,2927060
332,2019-06,000000009005010,913.33,36128518.9
333,2019-06,000000009002088,84.38,3341623
334,2019-06,000000009012798,63.32,2562550
335,2019-05,000000009007298,9.91,401156.8
336,2019-11,000000009017640,396.98,454092
337,2019-06,000000009008409,25.59,1054645.29
338,2019-06,000000009002031,27.84,1189399.8
339,2019-04,000000009002413,199.59,8470709.7
340,2019-04,000000009000568,88.75,3693957.5
341,2019-04,000000009000912,146.1,5771080
342,2019-06,000000009006817,243.53,10007450.7
343,2019-06,000000009001013,194.08,8714254.9
344,2019-04,000000009008987,54.13,2394621.9
345,2019-04,000000009015496,16.85,707759.1
346,2019-04,000000009010105,35.16,1538953.2
347,2019-04,000000009000008,67.41,3225064.8
348,2019-11,000000009001355,509.28,18832053.4
349,2019-11,000000009010194,140,1062000
350,2019-11,000000009011282,49.16,1329146
351,2019-06,000000009002342,98.42,393680
352,2019-04,000000009001472,1504.76,10508787
353,2019-04,000000009017193,12.92,542640
354,2019-04,000000009001228,176,933740
355,2019-05,000000009006402,15.85,681328.5
356,2019-04,000000009009890,73.07,3633631.7
357,2019-04,000000009001272,22.42,1051972.6
358,2019-04,000000009017220,7713.43,5206565.25
359,2019-04,000000009004973,125.37,5636955.6
360,2019-04,000000009013456,165.04,7038415.4
361,2019-04,000000009004409,106.99,4445156
362,2019-11,000000009008651,31.87,1067645
363,2019-06,000000009011590,32.98,1115383.6
364,2019-11,000000009011155,176.09,6568004.4
365,2019-04,000000009002747,39.13,1865969.7
366,2019-04,000000009005010,235.54,9303830
367,2019-04,000000009015201,22.72,984684.8
368,2019-04,000000009000859,71.6,3409580.2
369,2019-04,000000009000797,83.08,3304072
370,2019-04,000000009011960,1914.48,14402824
371,2019-11,000000009004677,347.2,11998422.4
372,2019-04,000000009001143,526.62,22779932.8
373,2019-04,000000009001355,179.49,7811631.3
374,2019-04,000000009001088,191.34,7725779.4
375,2019-04,000000009017893,29.37,1298132
376,2019-04,000000009018105,411.34,20615861.8
377,2019-06,000000009018157,20.92,901226
378,2019-06,000000009018783,167.8,6522938
379,2019-04,000000009000966,73.63,3114686
380,2019-04,000000009010986,155.66,7187432.8
381,2019-04,000000009017156,69.16,69160
382,2019-04,000000009011815,54.14,2373699.2
383,2019-04,000000009002601,11.59,531517.4
384,2019-04,000000009015986,144.66,6453696.8
385,2019-04,000000009002179,107.75,4876532.3
386,2019-04,000000009002031,12.5,562710
387,2019-11,000000009019331,179.71,6295530.9
388,2019-04,000000009017444,56.38,2378181.9
389,2019-04,000000009015971,102.58,4567100.6
390,2019-04,000000009014031,631.5,26390875
391,2019-04,000000009004677,251.84,10771797.8
392,2019-04,000000009005265,423.92,19009344.2
393,2019-04,000000009003207,41.42,1698440
394,2019-04,000000009015610,19.93,882699.7
395,2019-04,000000009011286,205.34,9200786.8
396,2019-04,000000009002615,34.71,1524463.2
397,2019-04,000000009017385,69.8,69800
398,2019-04,000000009015882,18.77,941127.8
399,2019-04,000000009006402,10.08,447041.9
400,2019-04,000000009002013,16.6,816831.5
401,2019-04,000000009006769,61.71,2689321.8
402,2019-04,000000009014039,123.02,700976
403,2019-04,000000009013506,18.32,794813.2
404,2019-10,000000009008109,146.3,5161178.1
405,2019-04,000000009014230,15.98,694212
406,2019-04,000000009013856,12.77,555944.3
407,2019-04,000000009018327,9.85,420043.8
408,2019-04,000000009001938,2.14,98568.4
409,2019-04,000000009004490,8.91,374226
410,2019-10,000000009013766,19.82,740871.6
411,2019-10,000000009000411,72.67,2629296.5
412,2019-10,000000009001449,282.68,10013000.9
413,2019-04,000000009001362,69.7,69700
414,2019-04,000000009000942,9.91,431085
415,2019-04,000000009016502,62.34,2444152.4
416,2019-10,000000009016251,184.48,6263583.75
417,2019-10,000000009017574,7.99,281873.5
418,2019-10,000000009011575,104.83,3882292
419,2019-10,000000009004755,161.27,5907648.2
420,2019-10,000000009001198,204.88,7362004.2
421,2019-10,000000009017256,77.12,2693606.8
422,2019-04,000000009002187,13.61,595709.7
423,2019-04,000000009001421,51.58,2384215.6
424,2019-10,000000009018731,53.86,1873309
425,2019-10,000000009000622,187.02,6918216.2
426,2019-10,000000009000205,73.72,2737642.4
427,2019-05,000000009014040,19.31,826734.71
428,2019-06,000000009009611,35.57,1548961.9
429,2019-06,000000009017695,7.31,307012.5
430,2019-04,000000009000063,35.15,1496687
431,2019-06,000000009018698,39.07,1707355
432,2019-06,000000009002615,16.27,660442
433,2019-04,000000009016404,2.5,113250
434,2019-04,000000009013859,59.17,2635669.8
435,2019-04,000000009000056,124.92,5582874.8
436,2019-10,000000009009052,529.34,18525352
437,2019-06,000000009001123,216.42,8488345.35
438,2019-06,000000009001292,319.39,12920468.6
439,2019-04,000000009013503,56.9,2527558.1
440,2019-10,000000009007898,198.91,7251151.4
441,2019-06,000000009017819,22.47,1056746.7
442,2019-06,000000009007997,50.61,2033104.2
443,2019-06,000000009017027,304.37,12701360.1
444,2019-06,000000009007795,89.72,3499184.8
445,2019-06,000000009005376,30.28,1280640.8
446,2019-06,000000009002623,37.24,1520580.8
447,2019-06,000000009000961,503.62,17348610
448,2019-06,000000009002510,153.68,6151556.6
449,2019-06,000000009010258,64.46,2933005.5
450,2019-06,000000009000168,48.02,2004354.8
451,2019-06,000000009013503,56.43,2413621.5
452,2019-10,000000009010065,730.1,23996429
453,2019-06,000000009001369,1.19,52383.8
454,2019-06,000000009007851,88.32,3782605.8
455,2019-06,000000009000859,41.02,1773855.9
456,2019-06,000000009000315,11.28,464961.6
457,2019-06,000000009018166,23.42,989776
458,2019-06,000000009000063,59.4,2395602
459,2019-06,000000009002472,44.07,1832967.9
460,2019-06,000000009006677,44.7,1783977
461,2019-06,000000009018382,16.83,693149.1
462,2019-06,000000009018818,38.03,1569047.13
463,2019-06,000000009011521,71.19,3096520.9
464,2019-10,000000009016659,104.32,236713.6
465,2019-06,000000009009247,1097.84,27116648
466,2019-06,000000009000262,120.54,5315103.6
467,2019-06,000000009017494,23.54,945252
468,2019-10,000000009000972,275.72,2070892
469,2019-10,000000009013025,252.26,8951746.6
470,2019-06,000000009018052,49.91,2068874.6
471,2019-06,000000009005518,49.74,1914492.6
472,2019-07,000000009000072,326.04,12518834
473,2019-06,000000009002473,20,112400
474,2019-06,000000009018456,26.63,1053216.5
475,2019-07,000000009004309,108.59,4677781.6
476,2019-07,000000009008681,276.77,10315351.6
477,2019-07,000000009000248,2505.31,110613485.5
478,2019-07,000000009001528,199.61,8649466.2
479,2019-07,000000009001877,794.57,32762692.4
480,2019-07,000000009015889,418.44,13417787.2
481,2019-06,000000009017097,22.76,937484.4
482,2019-07,000000009000768,2125.69,87854506.2
483,2019-07,000000009002235,1082.6,44612140.7
484,2019-07,000000009013191,21.57,791403.3
485,2019-07,000000009002301,1953.54,79914322.1
486,2019-07,000000009002340,4696.83,173724067.5
487,2019-07,000000009013139,301,12554803.1
488,2019-07,000000009001752,113.18,4620485.6
489,2019-06,000000009004430,20,112400
490,2019-07,000000009001669,815.24,32389474.3
491,2019-07,000000009015922,281.46,11463267.3
492,2019-06,000000009008338,315.27,12660189.1
493,2019-07,000000009000490,6.3,268443
494,2019-07,000000009011393,638.14,25784568.8
495,2019-07,000000009011397,250.26,10065668.7
496,2019-07,000000009000902,1806.84,73984760.5
497,2019-07,000000009015969,47.03,1951719
498,2019-07,000000009018579,60.87,2385108
499,2019-07,000000009000308,1302.97,53960232
500,2019-07,000000009000133,151.33,6559344.6
501,2019-07,000000009018420,184.27,7623668.7
502,2019-07,000000009000803,10.5,438270
503,2019-07,000000009002356,119.92,4948356.1
504,2019-07,000000009004740,220.08,8858342.5
505,2019-07,000000009002237,56.37,2380877.6
506,2019-07,000000009017659,8.18,332313
507,2019-06,000000009017225,39.63,1789080.6
508,2019-07,000000009008597,2737.64,94834089.2
509,2019-07,000000009000071,87.43,3753369.9
510,2019-07,000000009000931,118.48,5080044
511,2019-07,000000009000753,626.75,25913231.35
512,2019-07,000000009001526,485.7,19518671.6
513,2019-07,000000009000716,174.53,7284407.15
514,2019-07,000000009006628,8.29,348594.5
515,2019-07,000000009001838,22.76,1007823.9
516,2019-07,000000009016003,103.78,4128863.6
517,2019-07,000000009011446,200,1158800
518,2019-07,000000009011064,1410.94,56781376.6
519,2019-07,000000009000816,634.52,25144774.6
520,2019-07,000000009007764,39.19,1623185.6
521,2019-07,000000009006426,22.09,929407.4
522,2019-07,000000009000883,149.77,6311616.85
523,2019-07,000000009011286,407.03,17089534.25
524,2019-07,000000009001013,87.49,3862990.9
525,2019-07,000000009013205,347.69,14482249.1
526,2019-07,000000009002791,168.29,7043830.2
527,2019-07,000000009001338,1168.04,51664678.8
528,2019-07,000000009005609,113.71,4529019
529,2019-10,000000009013138,145.46,5146433.6
530,2019-07,000000009015990,116.12,4969407.8
531,2019-07,000000009002732,58.19,2411858.5
532,2019-10,000000009019355,58.61,2024538
533,2019-06,000000009018833,26.21,1062220.5
534,2019-07,000000009011232,80.81,3386837.9
535,2019-06,000000009001452,10.93,462433.5
536,2019-07,000000009018635,305.43,12809117.4
537,2019-07,000000009000779,50.15,2069418.5
538,2019-07,000000009001549,166.89,7002333.7
539,2019-07,000000009000480,853.05,32889626.6
540,2019-07,000000009004412,94.18,3921736.7
541,2019-07,000000009006784,10.57,441191.8
542,2019-04,000000009000207,19.35,821199.5
543,2019-07,000000009018524,29.83,1273442.7
544,2019-09,000000009000018,6768.37,244348849.5
545,2019-09,000000009013291,45.92,1828075.2
546,2019-09,000000009001838,35.33,1396825.6
547,2019-09,000000009004971,641.64,23736727.5
548,2019-08,000000009000498,2644.03,97298245.1
549,2019-08,000000009000902,6847.03,270371215.3
550,2019-08,000000009002779,2066.68,80420701.5
551,2019-08,000000009001292,250.9,9570693.3
552,2019-08,000000009001769,4273.5,159060913.9
553,2019-10,000000009005010,370.02,12056564
554,2019-09,000000009001628,1585.26,62548485.4
555,2019-09,000000009013354,117.19,4199385.6
556,2019-09,000000009000262,703.61,26290476.9
557,2019-08,000000009000714,488.76,20063314.2
558,2019-08,000000009011404,1793.07,70720702.4
559,2019-08,000000009013323,116.18,4625502.5
560,2019-09,000000009000972,299.68,2247600
561,2019-07,000000009004774,122.34,770700
562,2019-08,000000009002759,2913.16,114856646.8
563,2019-08,000000009002391,48.02,1971586.2
564,2019-08,000000009004918,426.78,15967469
565,2019-09,000000009000966,98.4,3772869.8
566,2019-09,000000009004674,650.13,25109626.9
567,2019-08,000000009016165,206,7596672
568,2019-07,000000009014155,61.96,526660
569,2019-08,000000009002306,869.62,35275530
570,2019-08,000000009000286,1824.96,36162992
571,2019-08,000000009002351,43.55,354458.75
572,2019-08,000000009001303,552.61,21358376.5
573,2019-07,000000009001459,85.41,3471356.5
574,2019-09,000000009005321,6101.65,212088236.5
575,2019-09,000000009013205,646.87,25905645.1
576,2019-09,000000009002342,462.24,734736
577,2019-08,000000009013710,1629.84,814920
578,2019-08,000000009016999,1821.44,72633880.7
579,2019-08,000000009006368,830.79,33555486.8
580,2019-10,000000009018761,9.06,336326.2
581,2019-07,000000009011155,89.5,3979005.9
582,2019-10,000000009013201,24.16,885826
583,2019-08,000000009001878,668.36,27523619.9
584,2019-09,000000009011404,1086.12,41340983.8
585,2019-09,000000009015809,35.32,1411719.98
586,2019-08,000000009011401,137.97,5535648.8
587,2019-08,000000009002374,1607.75,60907187.3
588,2019-07,000000009018245,1,40610
589,2019-07,000000009018650,80.72,2996007.6
590,2019-08,000000009000535,764.78,29734841.2
591,2019-08,000000009000593,56.37,2353524.1
592,2019-08,000000009004412,73.72,2939123.4
593,2019-07,000000009004659,12.17,504568.2
594,2019-08,000000009008709,97.67,4237901.3
595,2019-08,000000009015941,52,2077559.5
596,2019-09,000000009000224,1503.54,57513344.7
597,2019-08,000000009001412,60.3,2379997
598,2019-09,000000009001526,353.58,13552701.8
599,2019-09,000000009000354,612.43,22957583
600,2019-07,000000009008109,85.66,3503734.5
601,2019-07,000000009017842,197.34,7466469.3
602,2019-07,000000009014528,203.01,7706999.5
603,2019-08,000000009001682,340,2388200
604,2019-07,000000009001183,6.31,266759.1
605,2019-09,000000009008401,312.67,12193513.3
606,2019-07,000000009014016,140,840000
607,2019-09,000000009002351,35.34,264825
608,2019-09,000000009003195,141.46,495110
609,2019-09,000000009013198,62.66,438620
610,2019-09,000000009013950,298.42,2088940
611,2019-09,000000009017158,538.88,3772160
612,2019-09,000000009017640,283.22,311542
613,2019-09,000000009001687,581.59,23366650.5
614,2019-09,000000009005215,5461.04,168145078.2
615,2019-08,000000009017415,64.16,2609151.36
616,2019-09,000000009000535,1829.62,67002559.7
617,2019-08,000000009014535,27.22,1119264.32
618,2019-08,000000009000833,36.32,1487083.2
619,2019-08,000000009000349,321.32,12809340.6
620,2019-07,000000009012082,24.3,947700
621,2019-08,000000009017225,71.56,3036474.2
622,2019-07,000000009002391,87.72,3684820.8
623,2019-08,000000009008109,21.08,887578.8
